features,r2 in %,rmse
atemp,12.649054122482195,123.10901109891216
windspeed,1.5966739490396065,130.665497295983
humidity,8.05139797783757,126.30734376050637
season,4.704128780502037,128.58582011742192
weather,1.3800958346555814,130.80921059374717
workingday,2.0712476229238663,130.35003361481185
holiday,0.0,131.7213086307154
hour,53.85968311509971,89.4738907912778
weekday,2.3665747862190223,130.1533346273539
month,5.657737546546815,127.94083482728888
hourweekdaymonth,79.24048473410402,60.01566753433485
atemphumidity,20.6973029755127,117.30054110360014
